m/z,Intensity,Index,Scan_ID,Source_File
307.0,17113.371,1712,0,Cytochrome_C.mzML
307.25,21301.4,1716,0,Cytochrome_C.mzML
307.6875,35892.855,1723,0,Cytochrome_C.mzML
308.5,3834.457,1736,0,Cytochrome_C.mzML
309.125,64786.516,1746,0,Cytochrome_C.mzML
309.4375,46189.23,1751,0,Cytochrome_C.mzML
309.75,25057.371,1756,0,Cytochrome_C.mzML
310.125,26376.629,1762,0,Cytochrome_C.mzML
310.4375,5820.6855,1767,0,Cytochrome_C.mzML
311.0,42620.63,1776,0,Cytochrome_C.mzML
311.3125,7669.6,1781,0,Cytochrome_C.mzML
311.9375,4263.486,1791,0,Cytochrome_C.mzML
312.25,1468.2858,1796,0,Cytochrome_C.mzML
312.5625,5364.8574,1801,0,Cytochrome_C.mzML
313.1875,30929.799,1811,0,Cytochrome_C.mzML
313.4375,51818.887,1815,0,Cytochrome_C.mzML
313.8125,31446.03,1821,0,Cytochrome_C.mzML
314.25,34098.77,1828,0,Cytochrome_C.mzML
314.5,49429.83,1832,0,Cytochrome_C.mzML
314.8125,20194.0,1837,0,Cytochrome_C.mzML
315.0,18074.143,1840,0,Cytochrome_C.mzML
315.375,25397.629,1846,0,Cytochrome_C.mzML
316.125,3306.0571,1858,0,Cytochrome_C.mzML
316.75,1030.6,1868,0,Cytochrome_C.mzML
317.0625,68238.484,1873,0,Cytochrome_C.mzML
317.875,9420.086,1886,0,Cytochrome_C.mzML
318.3125,6097.2285,1893,0,Cytochrome_C.mzML
319.0,23646.914,1904,0,Cytochrome_C.mzML
319.25,51292.688,1908,0,Cytochrome_C.mzML
319.8125,19558.457,1917,0,Cytochrome_C.mzML
320.0625,22192.0,1921,0,Cytochrome_C.mzML
320.4375,7250.143,1927,0,Cytochrome_C.mzML
321.1875,114568.4,1939,0,Cytochrome_C.mzML
321.875,15132.2,1950,0,Cytochrome_C.mzML
322.4375,8457.801,1959,0,Cytochrome_C.mzML
322.625,9506.286,1962,0,Cytochrome_C.mzML
322.9375,7183.457,1967,0,Cytochrome_C.mzML
323.25,13048.515,1972,0,Cytochrome_C.mzML
323.5625,5502.6855,1977,0,Cytochrome_C.mzML
323.8125,7002.6284,1981,0,Cytochrome_C.mzML
324.25,13595.657,1988,0,Cytochrome_C.mzML
324.5,39289.6,1992,0,Cytochrome_C.mzML
325.0,12579.942,2000,0,Cytochrome_C.mzML
325.75,45353.516,2012,0,Cytochrome_C.mzML
326.0,29773.514,2016,0,Cytochrome_C.mzML
326.25,12828.114,2020,0,Cytochrome_C.mzML
326.875,8881.485,2030,0,Cytochrome_C.mzML
327.25,19333.543,2036,0,Cytochrome_C.mzML
327.4375,15751.086,2039,0,Cytochrome_C.mzML
327.75,60513.113,2044,0,Cytochrome_C.mzML
327.9375,30515.572,2047,0,Cytochrome_C.mzML
328.25,12174.972,2052,0,Cytochrome_C.mzML
329.0,13204.343,2064,0,Cytochrome_C.mzML
329.25,19627.543,2068,0,Cytochrome_C.mzML
330.1875,10347.686,2083,0,Cytochrome_C.mzML
330.5,14897.114,2088,0,Cytochrome_C.mzML
331.25,24857.057,2100,0,Cytochrome_C.mzML
332.1875,3022.3142,2115,0,Cytochrome_C.mzML
332.4375,4929.8286,2119,0,Cytochrome_C.mzML
332.875,8540.229,2126,0,Cytochrome_C.mzML
333.4375,31976.143,2135,0,Cytochrome_C.mzML
333.8125,5680.971,2141,0,Cytochrome_C.mzML
334.0625,5878.343,2145,0,Cytochrome_C.mzML
334.375,67271.74,2150,0,Cytochrome_C.mzML
335.0,59049.113,2160,0,Cytochrome_C.mzML
335.25,31716.314,2164,0,Cytochrome_C.mzML
335.8125,3442.0857,2173,0,Cytochrome_C.mzML
336.1875,15891.543,2179,0,Cytochrome_C.mzML
336.6875,46039.312,2187,0,Cytochrome_C.mzML
336.9375,11294.257,2191,0,Cytochrome_C.mzML
337.3125,63817.742,2197,0,Cytochrome_C.mzML
338.25,30846.97,2212,0,Cytochrome_C.mzML
338.6875,30314.543,2219,0,Cytochrome_C.mzML
339.1875,45787.8,2227,0,Cytochrome_C.mzML
339.875,30682.059,2238,0,Cytochrome_C.mzML
340.125,28630.486,2242,0,Cytochrome_C.mzML
340.5625,20507.543,2249,0,Cytochrome_C.mzML
340.75,11465.257,2252,0,Cytochrome_C.mzML
341.4375,385779.66,2263,0,Cytochrome_C.mzML
342.1875,12237.457,2275,0,Cytochrome_C.mzML
342.5,51216.0,2280,0,Cytochrome_C.mzML
342.75,66439.46,2284,0,Cytochrome_C.mzML
343.5,28458.771,2296,0,Cytochrome_C.mzML
343.9375,1401.4572,2303,0,Cytochrome_C.mzML
344.25,18293.885,2308,0,Cytochrome_C.mzML
344.5,34542.94,2312,0,Cytochrome_C.mzML
344.9375,65267.887,2319,0,Cytochrome_C.mzML
345.1875,79582.2,2323,0,Cytochrome_C.mzML
346.0625,63493.2,2337,0,Cytochrome_C.mzML
346.5,9586.485,2344,0,Cytochrome_C.mzML
346.9375,40090.37,2351,0,Cytochrome_C.mzML
347.3125,54192.973,2357,0,Cytochrome_C.mzML
348.0625,45132.2,2369,0,Cytochrome_C.mzML
348.4375,13390.6,2375,0,Cytochrome_C.mzML
348.75,18575.115,2380,0,Cytochrome_C.mzML
349.1875,192270.17,2387,0,Cytochrome_C.mzML
349.875,9693.028,2398,0,Cytochrome_C.mzML
350.125,15947.314,2402,0,Cytochrome_C.mzML
350.375,23056.486,2406,0,Cytochrome_C.mzML
350.9375,1188.2,2415,0,Cytochrome_C.mzML
351.25,50020.77,2420,0,Cytochrome_C.mzML
351.6875,24005.857,2427,0,Cytochrome_C.mzML
351.9375,5480.943,2431,0,Cytochrome_C.mzML
352.5625,54525.516,2441,0,Cytochrome_C.mzML
353.25,35490.285,2452,0,Cytochrome_C.mzML
353.6875,32745.943,2459,0,Cytochrome_C.mzML
354.1875,15860.942,2467,0,Cytochrome_C.mzML
354.875,11207.857,2478,0,Cytochrome_C.mzML
355.375,1531.7428,2486,0,Cytochrome_C.mzML
355.8125,28557.914,2493,0,Cytochrome_C.mzML
356.3125,19372.828,2501,0,Cytochrome_C.mzML
356.5625,24372.143,2505,0,Cytochrome_C.mzML
357.0,32467.03,2512,0,Cytochrome_C.mzML
357.25,11245.714,2516,0,Cytochrome_C.mzML
357.625,48988.6,2522,0,Cytochrome_C.mzML
358.1875,16634.885,2531,0,Cytochrome_C.mzML
358.5,69380.23,2536,0,Cytochrome_C.mzML
